# Weather station Astana, Kazakhstan, WMO_ID=35188,selection from 04.01.2018 till 31.12.2018, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=35188&lang=en
#
"Local time in Astana";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.12.2018 17:00";"-12.8";"737.7";"772.1";"2.2";"87";"Wind blowing from the south-southwest";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"";"-14.6";"";"";"";"";"";"";
"30.12.2018 14:00";"-10.2";"735.5";"769.5";"2.5";"81";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"-12.8";"";"";"";"";"";"";
"30.12.2018 11:00";"-9.4";"733.0";"766.7";"2.7";"82";"Wind blowing from the south-southwest";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-8.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"-11.9";"3.0";"12";"";"";"";"";
"30.12.2018 08:00";"-7.9";"730.3";"763.6";"1.9";"87";"Wind blowing from the west-northwest";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"-9.7";"3.0";"12";"";"";"Even layer of loose dry snow covering ground completely.";"18.0";
"30.12.2018 05:00";"-8.5";"728.4";"761.8";"0.1";"86";"Wind blowing from the south-southwest";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"";"-10.4";"";"";"";"";"";"";
"30.12.2018 02:00";"-8.4";"728.3";"761.7";"-0.3";"70";"Wind blowing from the south-southeast";"2";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"";"-13.0";"";"";"";"";"";"";
"29.12.2018 23:00";"-8.2";"728.6";"762.0";"-0.5";"64";"Wind blowing from the south";"2";"";"";"100%.";" ";"";"";"";"-3.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"";"";"-13.8";"";"";"";"";"";"";
"29.12.2018 20:00";"-6.9";"729.1";"762.3";"-0.3";"65";"Wind blowing from the south";"1";"";"";"100%.";" ";"";"";"";"-3.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"";"-12.5";"";"";"";"";"";"";
"29.12.2018 17:00";"-4.5";"729.4";"762.3";"-0.4";"57";"Wind blowing from the south-southeast";"1";"";"";"100%.";"Slight or moderate drifting snow generally low (below eye level). ";"Blizzard";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"";"-11.9";"";"";"";"";"";"";
"29.12.2018 14:00";"-4.1";"729.8";"762.7";"-1.3";"58";"Wind blowing from the south-southwest";"2";"";"";"100%.";"Slight or moderate drifting snow generally low (below eye level). ";"Blizzard";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-11.3";"";"";"";"";"";"";
"29.12.2018 11:00";"-6.6";"731.1";"764.4";"-1.1";"65";"Wind blowing from the south";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"Blizzard";"Blizzard";"-12.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"";"10.0";"-12.1";"";"";"";"";"";"";
"29.12.2018 08:00";"-8.3";"732.2";"765.7";"0.4";"61";"Wind blowing from the south-southwest";"3";"";"";"100%.";"Slight or moderate drifting snow generally low (below eye level). ";"Blizzard";"Blizzard";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"-14.5";"";"";"";"";"Even layer of loose dry snow covering ground completely.";"15.0";
"29.12.2018 05:00";"-9.5";"731.8";"765.4";"-1.1";"58";"Wind blowing from the south-southeast";"3";"";"";"100%.";"Slight or moderate drifting snow generally low (below eye level). ";"Blizzard";"Blizzard";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"";"-16.3";"";"";"";"";"";"";
"29.12.2018 02:00";"-10.5";"732.9";"766.8";"-1.1";"64";"Wind blowing from the south-southeast";"3";"";"";"70 – 80%.";"Slight or moderate drifting snow generally low (below eye level). ";"Blizzard";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"-16.0";"";"";"";"";"";"";
"28.12.2018 23:00";"-11.4";"734.0";"768.1";"-1.4";"61";"Wind blowing from the south-southeast";"3";"";"";"no clouds";"Slight or moderate drifting snow generally low (below eye level). ";"Blizzard";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"-11.4";"";"";"";"";"";"";"-17.4";"";"";"";"";"";"";
"28.12.2018 20:00";"-12.6";"735.4";"769.6";"-1.5";"64";"Wind blowing from the south-southeast";"3";"";"";"no clouds";"Slight or moderate drifting snow generally low (below eye level). ";"Blizzard";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-11.6";"";"";"";"";"";"";"-18.0";"";"";"";"";"";"";
"28.12.2018 17:00";"-13.1";"736.9";"771.3";"-0.7";"65";"Wind blowing from the south-southeast";"2";"";"";"100%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"";"-18.3";"";"";"";"";"";"";
"28.12.2018 14:00";"-11.8";"737.6";"771.9";"-1.1";"60";"Wind blowing from the south-southeast";"3";"";"";"100%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"-18.0";"";"";"";"";"";"";
"28.12.2018 11:00";"-14.1";"738.7";"773.4";"-1.2";"64";"Wind blowing from the south";"2";"";"";"100%.";" ";"";"";"-15.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"-19.4";"";"";"";"";"";"";
"28.12.2018 08:00";"-15.7";"739.9";"774.9";"-0.7";"68";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"-20.3";"";"";"";"";"Even layer of loose dry snow covering ground completely.";"16.0";
"28.12.2018 05:00";"-14.2";"740.6";"775.3";"-0.8";"61";"Wind blowing from the south";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"";"-20.1";"";"";"";"";"";"";
"28.12.2018 02:00";"-13.3";"741.4";"776.1";"-1.1";"57";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"";"-20.0";"";"";"";"";"";"";
"27.12.2018 23:00";"-14.9";"742.5";"777.4";"-0.6";"57";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"";"-13.4";"";"";"";"";"";"";"-21.5";"";"";"";"";"";"";
"27.12.2018 20:00";"-15.4";"743.1";"778.1";"-1.6";"53";"Wind blowing from the south-southwest";"3";"";"";"no clouds";" ";"";"";"";"-13.4";"";"";"";"";"";"";"-22.8";"";"";"";"";"";"";
"27.12.2018 17:00";"-16.2";"744.7";"779.9";"0.0";"57";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"";"-22.8";"";"";"";"";"";"";
"27.12.2018 14:00";"-14.1";"744.7";"779.6";"-0.9";"44";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-23.7";"";"";"";"";"";"";
"27.12.2018 11:00";"-17.7";"745.6";"781.0";"-0.3";"49";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"-27.4";"";"";"";"";"";"";"10.0";"-25.9";"";"";"";"";"";"";
"27.12.2018 08:00";"-20.7";"745.9";"781.8";"0.1";"61";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-26.3";"";"";"";"";"Even layer of loose dry snow covering ground completely.";"16.0";
"27.12.2018 05:00";"-27.1";"745.8";"782.7";"-0.4";"76";"Calm, no wind";"0";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"";"-30.1";"";"";"";"";"";"";
"27.12.2018 02:00";"-26.7";"746.2";"783.1";"-0.3";"74";"Wind blowing from the north";"1";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"";"-29.9";"";"";"";"";"";"";
"26.12.2018 23:00";"-26.5";"746.5";"783.4";"-0.4";"76";"Wind blowing from the north";"1";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"-16.4";"";"";"";"";"";"";"-29.5";"";"";"";"";"";"";
"26.12.2018 20:00";"-25.8";"746.9";"783.7";"-0.5";"75";"Wind blowing from the north-northwest";"1";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"-16.4";"";"";"";"";"";"";"-28.9";"";"";"";"";"";"";
"26.12.2018 17:00";"-25.4";"747.4";"784.1";"0.3";"73";"Wind blowing from the north";"1";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"";"-28.8";"";"";"";"";"";"";
"26.12.2018 14:00";"-16.8";"747.1";"782.5";"-0.7";"54";"Wind blowing from the east-northeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"-23.9";"";"";"";"";"";"";
"26.12.2018 11:00";"-20.8";"747.8";"783.8";"-0.1";"79";"Wind blowing from the north-northeast";"1";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"-31.2";"";"";"";"";"";"";"4.0";"-23.5";"";"";"";"";"";"";
"26.12.2018 08:00";"-28.7";"747.9";"785.1";"0.4";"76";"Wind blowing from the north";"1";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"-31.6";"";"";"";"";"Even layer of loose dry snow covering ground completely.";"18.0";
"26.12.2018 05:00";"-28.4";"747.5";"784.6";"-0.5";"74";"Wind blowing from the north-east";"1";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"";"-31.6";"";"";"";"";"";"";
"26.12.2018 02:00";"-31.1";"748.0";"785.5";"0.2";"72";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"";"-34.5";"";"";"";"";"";"";
"25.12.2018 23:00";"-30.5";"747.8";"785.3";"0.1";"72";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"";"-27.7";"";"";"";"";"";"";"-33.9";"";"";"";"";"";"";
"25.12.2018 20:00";"-30.1";"747.7";"785.2";"0.1";"73";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"-27.7";"";"";"";"";"";"";"-33.4";"";"";"";"";"";"";
"25.12.2018 17:00";"-28.7";"747.6";"784.8";"0.0";"75";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"";"-31.8";"";"";"";"";"";"";
"25.12.2018 14:00";"-27.7";"747.6";"784.6";"-0.6";"73";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"-31.1";"";"";"";"";"";"";
"25.12.2018 11:00";"-30.1";"748.2";"785.6";"-0.2";"73";"Wind blowing from the east-northeast";"2";"";"";"no clouds";" ";"";"";"-32.9";"";"";"";"";"";"";"10.0";"-33.4";"";"";"";"";"";"";
"25.12.2018 08:00";"-32.5";"748.4";"786.3";"0.4";"74";"Wind blowing from the north-northeast";"2";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"-35.6";"";"";"";"";"Even layer of loose dry snow covering ground completely.";"20.0";
"25.12.2018 05:00";"-32.1";"748.0";"785.8";"-0.3";"73";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"";"-35.3";"";"";"";"";"";"";
"25.12.2018 02:00";"-31.9";"748.3";"786.1";"-0.1";"74";"Wind blowing from the east-northeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"";"-35.0";"";"";"";"";"";"";
"24.12.2018 23:00";"-31.0";"748.4";"786.0";"0.4";"74";"Wind blowing from the east-northeast";"2";"";"";"no clouds";" ";"";"";"";"-22.9";"";"";"";"";"";"";"-34.1";"";"";"";"";"";"";
"24.12.2018 20:00";"-30.6";"748.0";"785.5";"";"75";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"-22.9";"";"";"";"";"";"";"-33.6";"";"";"";"";"";"";
"24.12.2018 17:00";"-29.4";"747.4";"784.7";"0.7";"69";"Wind blowing from the north-northeast";"2";"";"";"60%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"-33.3";"";"";"";"";"";"";
"24.12.2018 14:00";"-25.8";"746.7";"783.4";"0.4";"65";"Wind blowing from the north-northeast";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-30.5";"";"";"";"";"";"";
"24.12.2018 11:00";"-24.9";"746.3";"782.8";"1.0";"67";"Wind blowing from the east-northeast";"2";"";"";"no clouds";"Clouds generally dissolving or becoming less developed. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"-22.9";"";"";"";"";"";"";"10.0";"-29.3";"0.3";"12";"";"";"";"";
"24.12.2018 08:00";"-22.9";"745.3";"781.5";"1.4";"75";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-26.1";"0.3";"12";"";"";"Even layer of loose dry snow covering ground completely.";"20.0";
"24.12.2018 05:00";"-20.6";"743.9";"779.7";"0.7";"78";"Wind blowing from the north-east";"2";"";"";"90  or more, but not 100%";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"-23.4";"";"";"";"";"";"";
"24.12.2018 02:00";"-20.0";"743.2";"778.9";"1.0";"81";"Wind blowing from the north-northeast";"1";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"-22.4";"";"";"";"";"";"";
"23.12.2018 23:00";"-17.9";"742.2";"777.5";"0.9";"82";"Wind blowing from the north-east";"2";"";"";"90  or more, but not 100%";"Snow not falling as shower(s). ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-17.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"-20.2";"0.4";"12";"";"";"";"";
"23.12.2018 20:00";"-18.5";"741.3";"776.7";"1.1";"80";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Snow and/or other types of solid precipitation";"";"-17.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"-21.1";"0.4";"12";"";"";"";"";
"23.12.2018 17:00";"-17.8";"740.2";"775.4";"1.1";"80";"Wind blowing from the south-southwest";"1";"";"";"90  or more, but not 100%";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Snow and/or other types of solid precipitation";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"-20.4";"";"";"";"";"";"";
"23.12.2018 14:00";"-18.2";"739.1";"774.4";"0.7";"74";"Wind blowing from the south-southwest";"1";"";"";"90  or more, but not 100%";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Snow and/or other types of solid precipitation";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-21.7";"";"";"";"";"";"";
"23.12.2018 11:00";"-20.0";"738.4";"773.8";"0.4";"76";"Wind blowing from the west-southwest";"1";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"-24.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"";"4.0";"-23.1";"";"";"";"";"";"";
